iter	RMSE
0	392339.9505
1	357735.5871
2	327890.8826
3	305960.799
4	288138.3779
5	275665.1223
6	266641.2417
7	258035.87
8	250395.2262
9	245807.3224
10	241755.6589
11	238305.7765
12	235419.071
13	233460.2247
14	230924.6981
15	228977.2343
16	227454.8166
17	225939.7418
18	224775.8113
19	224572.0259
20	223550.3926
21	221198.8528
22	220095.0297
23	219216.9475
24	218513.5019
25	217247.1359
26	215780.3609
27	215004.7097
28	214442.6917
29	212416.0877
30	211372.4042
31	211170.3898
32	209507.9959
33	208979.7377
34	207831.824
35	207320.4433
36	205981.9623
37	205264.222
38	204633.7286
39	203815.353
40	203308.9281
41	201760.371
42	200236.2141
43	199868.4344
44	199590.2735
45	199329.0192
46	199221.6718
47	199126.4169
48	198572.6809
49	198022.2719
