iter	Passed	Remaining
0	138	6768
1	139	3344
2	140	2204
3	141	1632
4	143	1289
5	144	1059
6	145	893
7	146	769
8	147	673
9	148	595
10	150	532
11	151	479
12	152	434
13	153	395
14	154	361
15	155	331
16	157	304
17	158	281
18	159	260
19	160	240
20	161	222
21	162	206
22	162	191
23	163	177
24	164	164
25	165	153
26	166	141
27	167	131
28	168	121
29	168	112
30	169	104
31	170	96
32	171	88
33	172	81
34	173	74
35	174	67
36	175	61
37	176	55
38	176	49
39	177	44
40	178	39
41	179	34
42	180	29
43	181	24
44	181	20
45	182	15
46	183	11
47	183	7
48	184	3
49	185	0
